example_id                                                   | status | run_time        |
./spec/models/notification_spec.rb[1:9:6]                    | failed | 0.00026 seconds |
./spec/models/notification_spec.rb[1:9:7]                    | failed | 0.00024 seconds |
./spec/models/notification_spec.rb[1:10:1]                   | failed | 0.00056 seconds |
./spec/models/notification_spec.rb[1:11:1:1]                 | failed | 0.05955 seconds |
./spec/models/notification_spec.rb[1:11:2:1]                 | failed | 0.00033 seconds |
./spec/models/notification_spec.rb[1:11:3:1]                 | failed | 0.00057 seconds |
./spec/models/notification_spec.rb[1:11:4:1]                 | failed | 0.01349 seconds |
./spec/models/notification_spec.rb[1:11:5:1]                 | failed | 0.00028 seconds |
./spec/models/notification_spec.rb[1:11:6:1]                 | failed | 0.00046 seconds |
./spec/models/notification_spec.rb[1:12:1]                   | failed | 0.00055 seconds |
./spec/models/notification_spec.rb[1:12:2]                   | failed | 0.00043 seconds |
./spec/models/notification_spec.rb[1:13:1:1]                 | failed | 0.00027 seconds |
./spec/models/notification_spec.rb[1:13:2:1]                 | failed | 0.00028 seconds |
./spec/models/notification_spec.rb[1:13:3:1]                 | failed | 0.0003 seconds  |
./spec/models/notification_spec.rb[1:13:4:1]                 | failed | 0.00033 seconds |
./spec/models/notification_spec.rb[1:13:5:1]                 | failed | 0.00029 seconds |
./spec/models/notification_spec.rb[1:14:1:1:1]               | failed | 0.00025 seconds |
./spec/models/notification_spec.rb[1:14:1:2:1]               | failed | 0.00026 seconds |
./spec/models/notification_spec.rb[1:14:2:1]                 | failed | 0.00027 seconds |
./spec/models/notification_spec.rb[1:14:3:1:1]               | failed | 0.00027 seconds |
./spec/models/notification_spec.rb[1:14:3:2:1]               | failed | 0.00026 seconds |
./spec/models/notification_spec.rb[1:14:3:3:1]               | failed | 0.00029 seconds |
./spec/models/notification_spec.rb[1:14:4:1]                 | failed | 0.00026 seconds |
./spec/models/notification_spec.rb[1:14:4:2]                 | failed | 0.00027 seconds |
./spec/models/notification_spec.rb[1:14:5:1]                 | failed | 0.00031 seconds |
./spec/models/notification_spec.rb[1:14:6:1]                 | failed | 0.00024 seconds |
./spec/models/notification_spec.rb[1:14:6:2]                 | failed | 0.00027 seconds |
./spec/models/notification_spec.rb[1:14:7:1]                 | failed | 0.00026 seconds |
./spec/models/notification_spec.rb[1:14:8:1]                 | failed | 0.00025 seconds |
./spec/models/notification_spec.rb[1:14:9:1]                 | failed | 0.00031 seconds |
